name,is_closed,url,review_count,categories,rating,latitude,longitude,price,address1,city,country,state,distance,price_numeric
Botequim da Alcides,False,https://www.yelp.com/biz/botequim-da-alcides-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,"Pubs, Gastropubs",4.5,-30.0385303,-51.2026405,$,"Rua Dr. Alcides Cruz, 13",Porto Alegre,BR,RS,208.87,1.0
Abbraccio,False,https://www.yelp.com/biz/abbraccio-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,Italian,4.0,-30.050057,-51.228325,,"Av. Praia de Belas, 1181",Porto Alegre,BR,RS,2552.22,
Xis Moita,False,https://www.yelp.com/biz/xis-moita-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,5,"Burgers, Fast Food",4.0,-30.0429153,-51.2047768,$,Av. Ipiranga 2800,Porto Alegre,BR,RS,416.39,1.0
Usina de Massas,False,https://www.yelp.com/biz/usina-de-massas-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,5,Italian,4.0,-30.0229168,-51.2036743,$$,"R. Dinarte Ribeiro, 44",Porto Alegre,BR,RS,1894.28,2.0
Arte Pizza,False,https://www.yelp.com/biz/arte-pizza-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,Pizza,5.0,-30.0314064,-51.2059059,$$,"R. Casemiro de Abreu, 242",Porto Alegre,BR,RS,964.01,2.0
Biere Baguette,False,https://www.yelp.com/biz/biere-baguette-porto-alegre-2?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,"Pubs, Gastropubs",4.5,-30.0355034,-51.2043076,$,"R. Mariante, 887",Porto Alegre,BR,RS,454.89,1.0
Garopaba,False,https://www.yelp.com/biz/garopaba-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Diners, Gastropubs",4.0,-30.0383816,-51.203289,$,"Av. Protásio Alves, 493",Porto Alegre,BR,RS,213.09,1.0
Churrascaria Schneider,False,https://www.yelp.com/biz/churrascaria-schneider-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,7,Steakhouses,4.0,-30.0024014,-51.1969948,$$$,"Av. Bahia, 29",Porto Alegre,BR,RS,4235.77,3.0
AL NUR,False,https://www.yelp.com/biz/al-nur-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,Arabic,3.5,-30.0385532,-51.2019768,$$,Av. Protásio Alves 616,Porto Alegre,BR,RS,272.85,2.0
Boteco Imperial,False,https://www.yelp.com/biz/boteco-imperial-porto-alegre-3?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Dive Bars, Gastropubs",4.5,-30.0291157,-51.2009964,,"Av. Goethe, 13",Porto Alegre,BR,RS,1256.47,
Atelier de Massas,False,https://www.yelp.com/biz/atelier-de-massas-porto-alegre-2?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,9,Italian,4.5,-30.031448,-51.226616,$$,"R. Riachuelo, 1482",Porto Alegre,BR,RS,2326.06,2.0
Le Grand Burger,False,https://www.yelp.com/biz/le-grand-burger-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,13,"Burgers, Fast Food",5.0,-30.0201332724765,-51.2025340678086,$$,"R. Marquês do Pombal, 191",Porto Alegre,BR,RS,2209.86,2.0
Vermelho 23 Bar e Restaurante,False,https://www.yelp.com/biz/vermelho-23-bar-e-restaurante-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,Restaurants,3.5,-30.0347786,-51.2094841,$,R. Bento Figueiredo 23,Porto Alegre,BR,RS,701.35,1.0
Press Hilário,False,https://www.yelp.com/biz/press-hil%C3%A1rio-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,6,"Salad, Italian, Seafood, Coffee & Tea",4.5,-30.0258007,-51.2040939,$$$,R. Hilário Ribeiro 281,Porto Alegre,BR,RS,1600.23,3.0
Dá Domingos,False,https://www.yelp.com/biz/d%C3%A1-domingos-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,Brazilian,4.5,-30.0491447,-51.2069511,$,"Rua Santana, 1332",Porto Alegre,BR,RS,1067.48,1.0
Hashi,False,https://www.yelp.com/biz/hashi-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,"Sushi Bars, Japanese",5.0,-30.03181,-51.183402,$$$$,"R. Desembargador Augusto Loureiro Lima, 151",Porto Alegre,BR,RS,2225.23,4.0
Terraços,False,https://www.yelp.com/biz/terra%C3%A7os-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,"Buffets, Brazilian",4.5,-30.0297746567328,-51.2273256841308,$,"R. dos Andradas, 1444 - 2",Porto Alegre,BR,RS,2468.1,1.0
Del Barbiere Bistrô,False,https://www.yelp.com/biz/del-barbiere-bistr%C3%B4-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,11,"Bistros, Cafes",4.5,-30.0324,-51.22759,$$$,"R. Jerônimo Coelho, 188",Porto Alegre,BR,RS,2367.59,3.0
D&G Aromas e Sabores,False,https://www.yelp.com/biz/d-e-g-aromas-e-sabores-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Buffets,4.0,-30.0385609,-51.2019577,,"Avenida Protasio Alves, 624 - Rio Branco",Porto Alegre,BR,RS,297.41,
El Fuego Grelhados e Saladas,False,https://www.yelp.com/biz/el-fuego-grelhados-e-saladas-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Restaurants,5.0,-30.0238628,-51.2013016,,R. Olavo Barreto Viana 36 lj 336,Porto Alegre,BR,RS,1771.32,
Armazém do Sobrado,False,https://www.yelp.com/biz/armaz%C3%A9m-do-sobrado-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Specialty Food, Italian",5.0,-30.0428829,-51.2199097,$,"Rua José do Patrocínio, 1006",Porto Alegre,BR,RS,1520.55,1.0
Mamut Kebab & Shawarma,False,https://www.yelp.com/biz/mamut-kebab-e-shawarma-porto-alegre-2?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,5,"Kebab, Mediterranean, Turkish",4.0,-30.040514,-51.218605,$$,"R. Gen. Lima e Silva, 950",Porto Alegre,BR,RS,1365.45,2.0
El Mexicano,False,https://www.yelp.com/biz/el-mexicano-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,5,Mexican,4.5,-30.0416995,-51.2203674,$$,"R. Joaquim Nabuco, 187",Porto Alegre,BR,RS,1537.21,2.0
